Time,Data Year,Data Month,Chesapeake Bay Monthly Mean Streamflow,Log10(Chesapeake Bay Monthly Mean Streamflow),min value,Log10(min value),25-percentile,Log10(25-percentile),75-percentile,Log10(75-percentile),max value,Log10(max value),Rank of Chesapeake Bay Monthly Mean Streamflow,Rank of Chesapeake Bay Annual Mean Streamflow,Chesapeake Bay Annual Mean Streamflow
40,1940,1,28500,4.45484486000851,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,86,-99,-99
41,1940,2,65300,4.81491318127507,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,71,-99,-99
42,1940,3,100900,5.00389116623691,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,68,-99,-99
43,1940,4,309200,5.49023948524629,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,2,-99,-99
44,1940,5,83100,4.91960102378411,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,55,-99,-99
45,1940,6,93400,4.97034687623009,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,10,-99,-99
46,1940,7,41300,4.6159500516564,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,35,-99,-99
47,1940,8,57300,4.75815462196739,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,9,-99,-99
48,1940,9,47600,4.67760695272049,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,15,-99,-99
49,1940,10,25400,4.40483371661994,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,61,50,75500
50,1940,11,59500,4.77451696572855,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,42,-99,-99
51,1940,12,81800,4.91275330367132,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,42,-99,-99
52,1941,1,82400,4.91592721169712,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,44,-99,-99
53,1941,2,49700,4.69635638873333,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,83,-99,-99
54,1941,3,85300,4.93094903116752,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,79,-99,-99
55,1941,4,140500,5.1476763242411,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,37,-99,-99
56,1941,5,33300,4.52244423350632,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,86,-99,-99
57,1941,6,40600,4.60852603357719,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,68,-99,-99
58,1941,7,40800,4.61066016308988,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,34,-99,-99
59,1941,8,19800,4.29666519026153,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,66,-99,-99
60,1941,9,13800,4.13987908640124,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,81,-99,-99
61,1941,10,9600,3.98227123303957,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,87,77,56083
62,1941,11,16800,4.22530928172586,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,84,-99,-99
63,1941,12,43500,4.63848925695464,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,70,-99,-99
64,1942,1,40800,4.61066016308988,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,77,-99,-99
65,1942,2,55800,4.74663419893758,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,78,-99,-99
66,1942,3,137400,5.13798673272353,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,44,-99,-99
67,1942,4,112100,5.04960561259497,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,56,-99,-99
68,1942,5,121800,5.08564728829686,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,28,-99,-99
69,1942,6,65600,4.81690383937566,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,37,-99,-99
70,1942,7,37700,4.57634135020579,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,37,-99,-99
71,1942,8,72300,4.85913829729453,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,7,-99,-99
72,1942,9,32900,4.51719589794997,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,27,-99,-99
73,1942,10,122800,5.08919836680515,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,5,71,62250
74,1942,11,77900,4.89153745767256,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,22,-99,-99
75,1942,12,104300,5.01828430842653,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,25,-99,-99
76,1943,1,148600,5.17201880942456,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,13,-99,-99
77,1943,2,133300,5.12483014941386,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,19,-99,-99
78,1943,3,158100,5.19893186993221,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,32,-99,-99
79,1943,4,135200,5.13097669160562,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,40,-99,-99
80,1943,5,148400,5.17143390094301,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,13,-99,-99
81,1943,6,70200,4.84633711212981,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,29,-99,-99
82,1943,7,35200,4.54654266347813,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,46,-99,-99
83,1943,8,19200,4.28330122870355,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,69,-99,-99
84,1943,9,13300,4.12385164096709,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,84,-99,-99
85,1943,10,25700,4.40993312333129,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,58,15,97083
86,1943,11,69600,4.84260923961056,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,33,-99,-99
87,1943,12,25500,4.40654018043396,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,85,-99,-99
88,1944,1,45400,4.6570558528571,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,75,-99,-99
89,1944,2,52100,4.71683772329952,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,82,-99,-99
90,1944,3,170000,5.23044892137827,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,25,-99,-99
91,1944,4,132900,5.12352498094273,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,42,-99,-99
92,1944,5,119700,5.07809415040641,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,30,-99,-99
93,1944,6,50100,4.69983772586725,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,52,-99,-99
94,1944,7,23100,4.36361197989214,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,71,-99,-99
95,1944,8,15000,4.17609125905568,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,79,-99,-99
96,1944,9,36300,4.55990662503611,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,24,-99,-99
97,1944,10,35400,4.54900326202579,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,41,67,63833
98,1944,11,26800,4.42813479402879,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,76,-99,-99
99,1944,12,59000,4.77085201164214,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,61,-99,-99
100,1945,1,69200,4.84010609445676,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,53,-99,-99
101,1945,2,89200,4.95036485437612,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,50,-99,-99
102,1945,3,221800,5.34596154181314,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,10,-99,-99
103,1945,4,94200,4.97405090279288,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,70,-99,-99
104,1945,5,128500,5.10890312766731,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,22,-99,-99
105,1945,6,59400,4.77378644498119,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,43,-99,-99
106,1945,7,48500,4.68574173860226,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,20,-99,-99
107,1945,8,45600,4.65896484266444,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,18,-99,-99
108,1945,9,79100,4.89817648349768,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,9,-99,-99
109,1945,10,62000,4.79239168949825,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,18,34,79750
110,1945,11,96100,4.98272338766855,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,13,-99,-99
111,1945,12,107100,5.02978947083186,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,20,-99,-99
112,1946,1,119500,5.07736790528416,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,20,-99,-99
113,1946,2,72200,4.85853719756964,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,66,-99,-99
114,1946,3,156800,5.19534605834842,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,33,-99,-99
115,1946,4,59500,4.77451696572855,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,84,-99,-99
116,1946,5,146800,5.16672605558005,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,15,-99,-99
117,1946,6,122900,5.08955188288645,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,4,-99,-99
118,1946,7,42000,4.6232492903979,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,32,-99,-99
119,1946,8,35600,4.55144999797288,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,32,-99,-99
120,1946,9,20200,4.30535136944662,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,59,-99,-99
121,1946,10,37900,4.57863920996807,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,33,25,86833
122,1946,11,30700,4.48713837547719,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,69,-99,-99
123,1946,12,28700,4.45788189673399,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,82,-99,-99
124,1947,1,101000,5.00432137378264,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,30,-99,-99
125,1947,2,61200,4.78675142214556,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,74,-99,-99
126,1947,3,99800,4.99913054128737,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,70,-99,-99
127,1947,4,121400,5.08421868673924,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,51,-99,-99
128,1947,5,128000,5.10720996964787,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,23,-99,-99
129,1947,6,76000,4.88081359228079,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,22,-99,-99
130,1947,7,62100,4.79309160017658,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,10,-99,-99
131,1947,8,35900,4.55509444857832,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,31,-99,-99
132,1947,9,27000,4.43136376415899,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,38,-99,-99
133,1947,10,19800,4.29666519026153,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,73,65,67500
134,1947,11,61200,4.78675142214556,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,39,-99,-99
135,1947,12,40400,4.60638136511061,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,72,-99,-99
136,1948,1,48700,4.68752896121463,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,72,-99,-99
137,1948,2,96600,4.98497712641549,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,42,-99,-99
138,1948,3,176300,5.24625231229932,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,22,-99,-99
139,1948,4,187200,5.27230584440209,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,15,-99,-99
140,1948,5,132200,5.12123145514962,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,21,-99,-99
141,1948,6,59300,4.77305469336426,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,42,-99,-99
142,1948,7,40600,4.60852603357719,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,33,-99,-99
143,1948,8,48100,4.68214507637383,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,13,-99,-99
144,1948,9,19500,4.29003461136252,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,58,-99,-99
145,1948,10,38200,4.58206336291171,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,32,41,77500
146,1948,11,71900,4.85672889038288,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,29,-99,-99
147,1948,12,134800,5.1296898921993,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,13,-99,-99
148,1949,1,191100,5.28126068705501,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,4,-99,-99
149,1949,2,135800,5.13289976994448,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,18,-99,-99
150,1949,3,95800,4.98136550907854,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,74,-99,-99
151,1949,4,117700,5.07077646284344,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,52,-99,-99
152,1949,5,85800,4.93348728784871,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,52,-99,-99
153,1949,6,52000,4.7160033436348,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,51,-99,-99
154,1949,7,67900,4.8318697742805,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,8,-99,-99
155,1949,8,39000,4.5910646070265,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,26,-99,-99
156,1949,9,31600,4.4996870826184,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,31,-99,-99
157,1949,10,25600,4.40823996531185,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,57,22,88583
158,1949,11,43300,4.63648789635337,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,58,-99,-99
159,1949,12,69500,4.84198480459011,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,50,-99,-99
160,1950,1,100100,5.00043407747932,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,31,-99,-99
161,1950,2,130200,5.11461098423217,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,22,-99,-99
162,1950,3,136100,5.13385812520334,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,45,-99,-99
163,1950,4,134000,5.12710479836481,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,41,-99,-99
164,1950,5,101200,5.00518051250378,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,41,-99,-99
165,1950,6,73600,4.8668778143375,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,24,-99,-99
166,1950,7,35000,4.54406804435028,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,45,-99,-99
167,1950,8,28900,4.46089784275655,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,46,-99,-99
168,1950,9,63900,4.8055008581584,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,11,-99,-99
169,1950,10,46100,4.66370092538965,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,28,39,78500
170,1950,11,111000,5.04532297878666,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,9,-99,-99
171,1950,12,173800,5.24004977211265,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,6,-99,-99
172,1951,1,118400,5.0733517023869,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,21,-99,-99
173,1951,2,174500,5.2417954312952,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,6,-99,-99
174,1951,3,144500,5.15986784709257,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,41,-99,-99
175,1951,4,178400,5.2513948500401,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,21,-99,-99
176,1951,5,66900,4.82542611776782,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,63,-99,-99
177,1951,6,86900,4.93901977644867,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,12,-99,-99
178,1951,7,43000,4.63346845557959,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,30,-99,-99
179,1951,8,23600,4.37291200297011,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,55,-99,-99
180,1951,9,17100,4.23299611039215,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,68,-99,-99
181,1951,10,14400,4.15836249209525,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,84,14,98750
182,1951,11,42500,4.62838893005031,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,57,-99,-99
183,1951,12,81300,4.91009054559407,17200,4.23552844690755,50400,4.70243053644553,106200,5.02612451674545,221100,5.34458874257871,43,-99,-99
184,1952,1,172300,5.23628527744803,17500,4.24303804868629,57100,4.75663610824585,114300,5.05804623039528,246100,5.3911116137028,7,-99,-99
185,1952,2,122400,5.08778141780954,36100,4.55750720190566,72100,4.85793526471943,129800,5.11327469246435,228900,5.35964579267454,26,-99,-99
186,1952,3,181200,5.25815819334079,51800,4.71432975974523,103000,5.01283722470517,176300,5.24625231229932,299500,5.47639682672533,19,-99,-99
187,1952,4,177800,5.24993175663419,56000,4.7481880270062,98500,4.99343623049761,164900,5.21722065564452,389600,5.59061894820658,20,-99,-99
188,1952,5,140600,5.14798532068381,33300,4.52244423350632,63200,4.80071707828239,128500,5.10890312766731,217000,5.33645973384853,17,-99,-99
189,1952,6,48000,4.68124123737559,17700,4.24797326636181,41700,4.62013605497376,75500,4.87794695162919,342700,5.53491410442987,57,-99,-99
190,1952,7,34200,4.53402610605614,11500,4.06069784035361,24900,4.39619934709574,46000,4.66275783168157,120800,5.08206693428511,49,-99,-99
191,1952,8,30800,4.48855071650044,10200,4.00860017176192,19800,4.29666519026153,40000,4.60205999132796,132700,5.12287092286444,43,-99,-99
192,1952,9,38300,4.58319877396862,8800,3.94448267215017,17700,4.24797326636181,36300,4.55990662503611,201300,5.30384377488865,21,-99,-99
193,1952,10,17400,4.2405492482826,9500,3.97772360528885,22500,4.35218251811136,54600,4.73719264270474,174500,5.2417954312952,80,19,90250
194,1952,11,66200,4.8208579894397,14600,4.16435285578444,31700,4.50105926221775,77600,4.88986172125819,212100,5.32654066851656,37,-99,-99
