OBJECTID,x,y,Sheltered_Coastline,Geomorphology_Hazard,Elevation_Hazard,Sea_Level_Rise_Hazard,Wave_Hazard,storm_surge_hazard,Erosion_Rate_Hazard,Forest_Present,Marsh_Present,Dune_Present,Oyster_Reef_Present,Underwater_Grass_Present,Hazard_with_Habitats,Hazard_without_Habitats,Hazard_Reduction_by_Habitats,Community_Flood_Risk_Max,Community_Flood_Risk_Nearest,Shoreline_Priority_Area,County,EI_wHAB,EI_woHAB,hab_role,NearRiskD,Latitude,Longitude
11,403548.774493,4384947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Moderate,Low,n/a,Cecil,1.55109,1.79481995,0.243736,99.380867,39.61032654,-76.12356775
12,402548.774493,4384697.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,No,No,No,No,No,Moderate,Moderate,None,Moderate,Low,n/a,Harford,2.13165998,2.13165998,0,1251.07263184,39.60567301,-76.13600121
13,403798.774493,4384697.23155,Yes,Low,Very Low,Low,Low,Very Low,Moderate,No,No,No,No,No,Low,Low,None,Moderate,Low,n/a,Cecil,1.98164999,1.98164999,0,9.75961304,39.60725432,-76.11902854
14,402798.774493,4384447.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,No,No,No,No,No,Low,Low,None,Moderate,Low,n/a,Harford,1.87012005,1.87012005,0,1189.8894043,39.60361702,-76.13298471
15,404048.774493,4384447.23155,Yes,Very Low,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Low,Low,None,Moderate,Low,n/a,Cecil,1.62560999,1.62560999,0,0,39.60488795,-76.11701919
16,403048.774493,4384197.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,No,No,No,No,Yes,Low,Low,Low,Moderate,Low,n/a,Harford,1.83776999,1.87012005,0.0323551,1130.37097168,39.60128062,-76.13053838
17,404298.774493,4384197.23155,Yes,Very Low,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Cecil,1.57740998,1.62560999,0.0482066,51.69618225,39.60265307,-76.11408515
18,403048.774493,4383947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Harford,1.92288005,1.98164999,0.0587645,1140.6763916,39.5996775,-76.12948704
19,404548.774493,4383947.23155,Yes,Very Low,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Cecil,1.57740998,1.62560999,0.0482066,124.55612183,39.60049371,-76.11094684
20,403298.774493,4383697.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Moderate,n/a,Harford,1.81465995,1.87012005,0.0554574,1211.15966797,39.59705826,-76.12755353
21,404798.774493,4383697.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,No,No,No,No,Yes - dense,Moderate,Moderate,Low,Moderate,Low,n/a,Cecil,2.06844997,2.13165998,0.0632131,206.29472351,39.59801645,-76.1081843
22,418798.774493,4383697.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Moderate,Very High,Moderate,Tier 2,Cecil,1.61711001,1.93069994,0.31359199,121.81908417,39.59917652,-75.94575547
23,403298.774493,4383447.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Harford,1.81465995,1.87012005,0.0554574,1297.97058105,39.59524641,-76.12638059
24,404798.774493,4383447.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Cecil,1.84546006,1.90186,0.0563984,421.0279541,39.59636583,-76.10687819
25,418548.774493,4383447.23155,Yes,Moderate,Very Low,Low,Very Low,High,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Cecil,1.83254004,2.18791008,0.355371,184.30903625,39.59569575,-75.9479768
26,403548.774493,4383197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Moderate,Low,Tier 2,Harford,1.61111999,1.93069994,0.31957999,1468.81933594,39.59259714,-76.12483506
27,404798.774493,4383197.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Cecil,1.84546006,1.90186,0.0563984,685.3515625,39.59420766,-76.10555948
28,417798.774493,4383197.23155,Yes,High,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Moderate,Low,Very High,Low,Tier 2,Cecil,1.78438997,2.06478,0.28039601,56.64928436,39.5944636,-75.95725415
29,418048.774493,4383197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,27.43384743,39.59462364,-75.95444477
30,418298.774493,4383197.23155,Yes,High,Very Low,Low,Low,High,Low,Yes,Yes,No,No,No,Moderate,Moderate,Moderate,Very High,Very High,Tier 2,Cecil,2.10818005,2.51699996,0.408822,5.72164154,39.59467401,-75.95163923
31,418548.774493,4383197.23155,Yes,Low,Very Low,Low,Very Low,High,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Cecil,1.72941005,2.06478,0.33537099,159.6318512,39.59484083,-75.94883451
32,403548.774493,4382947.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Moderate,Low,Tier 2,Harford,1.61111999,1.93069994,0.31957999,1532.95361328,39.59075209,-76.1233893
33,405048.774493,4382947.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Cecil,1.74160004,1.79481995,0.0532244,988.11352539,39.59155871,-76.10452601
34,417548.774493,4382947.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.61616004,1.87012005,0.253961,320.40631104,39.59225909,-75.96016992
35,418298.774493,4382947.23155,Yes,Low,Very Low,Low,Low,High,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Very High,Tier 2,Cecil,1.90943003,2.27970004,0.37028,188.50218201,39.59246283,-75.95181138
36,427048.774493,4382947.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,146.08750916,39.59199875,-75.85028089
37,427298.774493,4382947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Moderate,Very High,Low,Tier 2,Cecil,1.61711001,1.93069994,0.31359199,355.98831177,39.59305254,-75.84655618
38,427548.774493,4382947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Moderate,Very High,Low,Tier 2,Cecil,1.61711001,1.93069994,0.31359199,449.84112549,39.59332535,-75.84401063
39,403798.774493,4382697.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Moderate,Low,Tier 2,Harford,1.61111999,1.93069994,0.31957999,1594.37316895,39.58820871,-76.12095956
40,405298.774493,4382697.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,Yes - dense,Low,Low,Low,Low,Low,n/a,Cecil,1.84546006,1.90186,0.0563984,1322.29821777,39.58902675,-76.10235889
41,417298.774493,4382697.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.56637001,1.87012005,0.30375299,518.6081543,39.58980462,-75.96280285
42,418298.774493,4382697.23155,Yes,Low,Very Low,Low,Low,High,Low,Yes,No,No,No,No,Low,Moderate,Moderate,Very High,High,Tier 2,Cecil,1.97011995,2.27970004,0.309582,53.8290596,39.58993556,-75.94939587
43,427298.774493,4382697.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Moderate,Very High,Low,Tier 2,Cecil,1.61711001,1.93069994,0.31359199,364.14886475,39.59153601,-75.84738425
44,404048.774493,4382447.23155,Yes,Very High,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Low,Low,n/a,Harford,1.66297996,1.93069994,0.26772201,1673.58410645,39.58614035,-76.11840207
45,405298.774493,4382447.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,No,Low,Low,None,Low,Low,n/a,Cecil,1.90186,1.90186,0,1514.86364746,39.58771625,-76.10077079
46,417048.774493,4382447.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.41869998,1.69380999,0.27511701,220.08860779,39.58749991,-75.96530096
47,418298.774493,4382447.23155,Yes,Low,Very Low,Low,Low,Low,Low,Yes,No,No,No,No,Low,Moderate,Low,Very High,High,Tier 2,Cecil,1.78438997,2.06478,0.28039601,70.07886505,39.58791662,-75.94947304
48,404298.774493,4382197.23155,Yes,Low,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Low,Low,n/a,Harford,1.45894003,1.69380999,0.234874,1876.95874023,39.58323865,-76.11505671
49,405548.774493,4382197.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,No,No,No,No,Yes - dense,Low,Low,Low,Low,Low,n/a,Cecil,1.84546006,1.90186,0.0563984,1882.74084473,39.5849352,-76.09842513
50,405798.774493,4382197.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,n/a,n/a,n/a,Cecil,1.54594004,1.79481995,0.248881,2015.07165527,39.58418137,-76.09704995
51,417048.774493,4382197.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.46379995,1.69380999,0.230019,7.97495794,39.58558898,-75.96527004
52,418298.774493,4382197.23155,Yes,Low,Very Low,Low,Low,Low,Low,Yes,No,No,No,No,Low,Moderate,Low,Very High,High,Tier 2,Cecil,1.78438997,2.06478,0.28039601,181.89610291,39.58515574,-75.95007489
53,426298.774493,4382197.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,High,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,72.70171356,39.58616295,-75.85680104
54,427048.774493,4382197.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,432.68353271,39.58564502,-75.84792207
55,427298.774493,4382197.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,Very High,Low,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,356.0067749,39.58636254,-75.84675057
56,404548.774493,4381947.23155,Yes,Low,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,n/a,n/a,n/a,Harford,1.45894003,1.69380999,0.234874,2085.72729492,39.58099983,-76.11283382
57,406048.774493,4381947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Moderate,Yes,Yes,No,No,Yes - dense,Low,Moderate,Moderate,n/a,n/a,n/a,Cecil,1.75224996,2.0998199,0.347574,2362.73046875,39.58226586,-76.09328067
58,417048.774493,4381947.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.61616004,1.87012005,0.253961,0,39.5832394,-75.96601458
59,418298.774493,4381947.23155,Yes,Low,Very Low,Low,Low,Low,Low,Yes,No,No,No,No,Low,Moderate,Low,Very High,High,Tier 2,Cecil,1.78438997,2.06478,0.28039601,271.95932007,39.5840601,-75.94941388
60,426548.774493,4381947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Moderate,High,High,Tier 2,Cecil,1.61711001,1.93069994,0.31359199,63.91295624,39.58403761,-75.85545734
61,426798.774493,4381947.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,High,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,308.86621094,39.58368203,-75.8523918
62,427048.774493,4381947.23155,Yes,Very High,Very Low,Low,Very Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,High,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,545.71276855,39.58365657,-75.84955758
63,427548.774493,4381947.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,Low,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,67.83409119,39.58474731,-75.84371556
64,404548.774493,4381697.23155,Yes,Low,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,n/a,n/a,n/a,Harford,1.45894003,1.69380999,0.234874,2236.05297852,39.57955073,-76.11174181
65,406298.774493,4381697.23155,Yes,Low,Very Low,Low,Low,Very Low,Moderate,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,n/a,n/a,n/a,Cecil,1.65363002,1.98164999,0.328013,2066.98388672,39.58046429,-76.09018485
66,406548.774493,4381697.23155,Yes,Very High,Very Low,Low,Low,Very Low,High,Yes,Yes,No,No,Yes - dense,Low,Moderate,Moderate,Very High,Very High,Tier 2,Cecil,1.96396995,2.35354996,0.38957199,1914.87182617,39.57961903,-76.08815864
67,417048.774493,4381697.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.71254003,1.98164999,0.269106,26.48022652,39.58106106,-75.96553339
68,418048.774493,4381697.23155,Yes,Very Low,Very Low,Low,Low,Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Very High,Moderate,n/a,Cecil,1.46379995,1.69380999,0.230019,120.5067215,39.5786051,-75.95176794
69,418298.774493,4381697.23155,Yes,Very Low,Very Low,Low,Low,Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Moderate,n/a,Cecil,1.61616004,1.87012005,0.253961,97.53163147,39.57970603,-75.9499417
70,427298.774493,4381697.23155,Yes,Very High,Very Low,Low,Low,Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,Low,Tier 2,Cecil,1.97126997,2.35354996,0.38227299,471.94515991,39.58173963,-75.8478761
71,427548.774493,4381697.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,High,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,98.31881714,39.58107402,-75.84124917
72,404798.774493,4381447.23155,Yes,Low,Very Low,Low,Low,Very Low,Moderate,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,n/a,n/a,n/a,Harford,1.65363002,1.98164999,0.328013,2380.90625,39.5772188,-76.10885196
73,406798.774493,4381447.23155,Yes,High,Very Low,Low,Low,Very Low,High,Yes,Yes,No,No,Yes - dense,Low,Moderate,Moderate,Very High,Very High,Tier 2,Cecil,1.90235996,2.27970004,0.37734899,1654.15991211,39.57794422,-76.08480255
74,416798.774493,4381447.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Very High,n/a,Cecil,1.61616004,1.87012005,0.253961,0,39.57796314,-75.96740265
75,417798.774493,4381447.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.32579005,1.53412998,0.208333,91.16784668,39.57710219,-75.95414979
76,427048.774493,4381447.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Moderate,High,Low,Tier 2,Cecil,1.61711001,1.93069994,0.31359199,198.38554382,39.57924862,-75.84789686
77,427548.774493,4381447.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,High,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,134.04058838,39.57894542,-75.8419587
78,405048.774493,4381197.23155,Yes,Low,Very Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,Yes - dense,Low,Low,Low,n/a,n/a,n/a,Harford,1.41343999,1.69380999,0.28036901,2066.15527344,39.57480892,-76.10673412
79,406298.774493,4381197.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.65363002,1.98164999,0.328013,1285.39074707,39.57297541,-76.08894517
80,406548.774493,4381197.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.65363002,1.98164999,0.328013,1260.81494141,39.57314707,-76.08807143
81,406798.774493,4381197.23155,Yes,High,Very Low,Low,Low,Very Low,High,Yes,Yes,No,No,Yes - dense,Low,Moderate,Moderate,Very High,Very High,Tier 2,Cecil,1.90235996,2.27970004,0.37734899,1525.83605957,39.57696845,-76.08349409
82,416798.774493,4381197.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Very High,n/a,Cecil,1.71254003,1.98164999,0.269106,0,39.57672526,-75.96882795
83,417798.774493,4381197.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.32579005,1.53412998,0.208333,84.64342499,39.57608439,-75.95484326
84,426798.774493,4381197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Moderate,Low,High,Low,Tier 2,Cecil,1.84218001,2.13165998,0.289478,222.38212585,39.57748542,-75.85238839
85,427548.774493,4381197.23155,Yes,Very High,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,High,Tier 2,Cecil,1.78542995,2.13165998,0.34623399,312.28186035,39.57718684,-75.84233254
86,405298.774493,4380947.23155,Yes,Low,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Moderate,Low,n/a,Harford,1.45894003,1.69380999,0.234874,1720.67443848,39.5723765,-76.10323503
87,406048.774493,4380947.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Low,Yes,Yes,No,No,Yes,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.65824997,1.98164999,0.32339799,1289.99023438,39.57215074,-76.09040371
88,406798.774493,4380947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.65363002,1.98164999,0.328013,1124.59655762,39.57275121,-76.08559146
89,407048.774493,4380947.23155,Yes,High,Very Low,Low,Low,Very Low,Moderate,Yes,No,No,No,Yes - dense,Low,Moderate,Low,Very High,Very High,Tier 2,Cecil,1.88452005,2.18791008,0.30338901,1112.07385254,39.57343647,-76.08073613
90,416548.774493,4380947.23155,Yes,Low,Very Low,Low,Moderate,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.55109,1.79481995,0.243736,11.9909296,39.57400463,-75.97084343
91,417798.774493,4380947.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Very Low,Yes,No,No,No,No,Low,Low,Low,Very High,High,n/a,Cecil,1.55109,1.79481995,0.243736,103.29592133,39.57326151,-75.95551465
92,426548.774493,4380947.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,No,No,No,Yes,Low,Low,Low,High,Low,n/a,Cecil,1.66712999,1.93069994,0.26356801,448.87011719,39.57474784,-75.85419383
93,427798.774493,4380947.23155,Yes,High,Very Low,Low,Low,Very Low,Low,Yes,Yes,No,No,No,Low,Moderate,Moderate,High,Moderate,Tier 2,Cecil,1.72941005,2.06478,0.33537099,365.12054443,39.57614924,-75.84096688
94,428048.774493,4380947.23155,Yes,High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Low,High,Low,n/a,Cecil,1.56637001,1.87012005,0.30375299,393.52264404,39.57570915,-75.83740182
95,405548.774493,4380697.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Moderate,Yes,No,No,No,Yes - dense,Low,Moderate,Low,Very High,Low,Tier 2,Harford,1.80865002,2.0998199,0.29117301,1432.6048584,39.57008271,-76.1008925
96,406048.774493,4380697.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Very High,Very High,n/a,Cecil,1.61080003,1.87012005,0.25932199,1208.06787109,39.5708217,-76.09080256
97,407048.774493,4380697.23155,Yes,Moderate,Very Low,Low,Moderate,Very Low,Very Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.58704996,1.90186,0.31480601,872.31628418,39.5709443,-76.08342149
98,411048.774493,4380697.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.61111999,1.93069994,0.31957999,1925.13989258,39.57009531,-76.03511215
99,415798.774493,4380697.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.61616004,1.87012005,0.253961,25.82109833,39.57130082,-75.97993121
100,416048.774493,4380697.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Very High,n/a,Cecil,1.46379995,1.69380999,0.230019,0,39.5723498,-75.97729658
101,416298.774493,4380697.23155,Yes,Very Low,Very Low,Low,Moderate,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.55109,1.79481995,0.243736,0,39.57134697,-75.97462649
102,417548.774493,4380697.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,High,n/a,Cecil,1.71254003,1.98164999,0.269106,49.70306396,39.57138849,-75.95648358
103,426548.774493,4380697.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,No,No,No,Yes,Low,Low,Low,High,Low,n/a,Cecil,1.66712999,1.93069994,0.26356801,638.45611572,39.57278468,-75.85493295
104,428048.774493,4380697.23155,Yes,Very Low,Very Low,Low,Very Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,High,Low,n/a,Cecil,1.32579005,1.53412998,0.208333,102.0606842,39.57255977,-75.83548692
105,405548.774493,4380447.23155,Yes,Moderate,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Very High,Low,n/a,Harford,1.70685995,1.98164999,0.274786,1253.86437988,39.56857585,-76.09950261
106,406048.774493,4380447.23155,Yes,Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,Yes - dense,Low,Low,Low,Very High,Very High,n/a,Cecil,1.61080003,1.87012005,0.25932199,1028.51586914,39.56851703,-76.09049108
107,407048.774493,4380447.23155,Yes,High,Very Low,Low,Low,Very Low,Very Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.56057,1.87012005,0.309553,626.73040771,39.56870579,-76.08305573
108,411048.774493,4380447.23155,Yes,Very High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,Yes - dense,Low,Low,Moderate,Very High,Very High,Tier 2,Cecil,1.61111999,1.93069994,0.31957999,1864.10620117,39.56953661,-76.03601763
109,415298.774493,4380447.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.46379995,1.69380999,0.230019,0,39.56834374,-75.98494463
110,415548.774493,4380447.23155,Yes,Very Low,Very Low,Low,Low,Very Low,Low,Yes,No,No,No,No,Low,Low,Low,Very High,Low,n/a,Cecil,1.46379995,1.69380999,0.230019,0,39.5691836,-75.98298048
111,417548.774493,4380447.23155,Yes,Moderate,Very Low,Low,Low,Very High,Low,Yes,No,No,No,No,Moderate,Moderate,Moderate,Very High,Low,Tier 2,Cecil,2.15523005,2.49390006,0.33866999,43.86003494,39.5698566,-75.95641749
112,425798.774493,4380447.23155,Yes,High,Very Low,Low,Very Low,Very Low,Low,Yes,Yes,No,No,No,Low,Low,Low,High,High,n/a,Cecil,1.56637001,1.87012005,0.30375299,134.1545105,39.56995374,-75.8639048
